,movie_name,year,runtime,genre,rating,votes,gross(in $)
326,Van Helsing,2004,131 min,thriller,6.0,271049.0,120177084.0
327,The Girl on the Train,2016,112 min,thriller,6.5,190326.0,75395035.0
328,Fatal Attraction,1987,119 min,thriller,6.9,89286.0,156645693.0
329,Battleship,2012,131 min,thriller,5.8,250485.0,65422625.0
330,The Covenant,2006,97 min,thriller,5.1,50377.0,23292105.0
331,Vertigo,1958,128 min,thriller,8.3,406028.0,3200000.0
332,Eden Lake,2008,91 min,thriller,6.7,87423.0,5824.0
333,Faster,2010,98 min,thriller,6.4,108816.0,23240020.0
334,X-Men: Days of Future Past,2014,132 min,thriller,7.9,718367.0,233921534.0
335,Gamer,2009,95 min,thriller,5.7,136531.0,20488579.0
336,Red Dragon,2002,124 min,thriller,7.2,277743.0,93149898.0
337,The Conjuring 2,2016,134 min,thriller,7.3,276405.0,102470008.0
338,Source Code,2011,93 min,thriller,7.5,526230.0,54712227.0
339,Rear Window,1954,112 min,thriller,8.5,495801.0,36764313.0
340,Knowing,2009,121 min,thriller,6.2,237432.0,79957634.0
341,The Chronicles of Riddick,2004,119 min,thriller,6.6,232250.0,57761012.0
342,Body Heat,1981,113 min,thriller,7.4,37030.0,24058838.0
343,Atomic Blonde,2017,115 min,thriller,6.7,197129.0,51687870.0
344,Don't Breathe,2016,88 min,thriller,7.1,280502.0,89217875.0
345,The Crow,1994,102 min,thriller,7.5,187760.0,50693162.0
346,Geostorm,2017,109 min,thriller,5.3,110683.0,33700160.0
347,Halloween,1978,91 min,thriller,7.7,284929.0,47000000.0
348,Side Effects,2013,106 min,thriller,7.1,191718.0,32172757.0
349,Under Siege,1992,103 min,thriller,6.5,89602.0,83363139.0
350,The Others,2001,104 min,thriller,7.6,372153.0,96522687.0
351,Looper,2012,119 min,thriller,7.4,582080.0,66486205.0
352,Bridge of Spies,2015,142 min,thriller,7.6,314994.0,72313754.0
353,Gattaca,1997,106 min,thriller,7.8,308569.0,12339633.0
354,Burn After Reading,2008,96 min,thriller,7.0,337491.0,60355347.0
355,Falling Down,1993,113 min,thriller,7.6,193544.0,40903593.0
356,The Quick and the Dead,1995,108 min,thriller,6.5,96672.0,18636537.0
357,Misery,1990,107 min,thriller,7.8,216804.0,61276872.0
358,The Neon Demon,2016,117 min,thriller,6.1,98051.0,1333124.0
359,Akira,1988,124 min,thriller,8.0,190060.0,553171.0
360,Broken City,2013,109 min,thriller,6.1,81409.0,19701164.0
361,Running Scared,2006,122 min,thriller,7.3,100999.0,6855137.0
362,Desperado,1995,104 min,thriller,7.1,188943.0,25625110.0
363,The Untouchables,1987,119 min,thriller,7.8,314682.0,76270454.0
364,The Da Vinci Code,2006,149 min,thriller,6.6,438723.0,217536138.0
365,The Craft,1996,101 min,thriller,6.4,97546.0,24881000.0
366,Drive Angry,2011,104 min,thriller,5.4,100634.0,10706786.0
367,Planet of the Apes,2001,119 min,thriller,5.7,222070.0,180011740.0
368,RocknRolla,2008,114 min,thriller,7.2,255924.0,5694401.0
369,Commando,1985,90 min,thriller,6.7,164649.0,35100000.0
370,Peppermint,2018,101 min,thriller,6.5,66506.0,35418723.0
371,Live Free or Die Hard,2007,128 min,thriller,7.1,409985.0,134529403.0
372,The Boy Next Door,2015,91 min,thriller,4.7,43260.0,35385560.0
373,Fool's Gold,2008,112 min,thriller,5.7,81312.0,70231041.0
374,Dark City,1998,100 min,thriller,7.6,202722.0,14378331.0
375,Terminator Genisys,2015,126 min,thriller,6.3,281561.0,89760956.0
376,The Road Warrior,1981,96 min,thriller,7.6,183726.0,12465371.0
377,The Last House on the Left,2009,110 min,thriller,6.5,95166.0,32752215.0
378,Captain Phillips,2013,134 min,thriller,7.8,467045.0,107100855.0
379,London Has Fallen,2016,99 min,thriller,5.9,161622.0,62678608.0
380,Robin Hood,2018,116 min,thriller,5.3,75540.0,30824628.0
381,Wild Tales,2014,122 min,thriller,8.1,201654.0,3107072.0
382,Insidious,2010,103 min,thriller,6.8,313971.0,54009150.0
383,The Invisible Man,2020,124 min,thriller,7.1,232647.0,70410000.0
384,Crimson Tide,1995,116 min,thriller,7.3,115603.0,91400000.0
385,Wild at Heart,1990,125 min,thriller,7.2,95504.0,14560247.0
386,Out of the Furnace,2013,116 min,thriller,6.7,118905.0,11326836.0
387,Green Room,2015,95 min,thriller,7.0,128580.0,3219029.0
388,Mortal Engines,2018,128 min,thriller,6.1,129047.0,15951040.0
389,The Great Escape,1963,172 min,thriller,8.2,246944.0,12100000.0
